number of pods; number of nodes; slot of time; pending pods 
50; 10; 1; 1
50; 10; 2; 1
50; 10; 3; 1
50; 10; 4; 1
50; 10; 5; 1
50; 10; 6; 1
50; 10; 7; 1
50; 10; 8; 1
50; 10; 9; 1
50; 10; 10; 1
50; 10; 11; 1
50; 10; 12; 1
50; 10; 13; 1
50; 10; 14; 1
50; 10; 15; 1
50; 10; 16; 1
50; 10; 17; 1
50; 10; 18; 1
50; 10; 19; 1
50; 10; 20; 1
50; 10; 21; 1
50; 20; 1; 1
50; 20; 2; 1
50; 20; 3; 1
50; 20; 4; 1
50; 20; 5; 1
50; 20; 6; 1
50; 20; 7; 1
50; 20; 8; 1
50; 20; 9; 1
50; 20; 10; 1
50; 20; 11; 1
50; 20; 12; 1
50; 20; 13; 1
50; 20; 14; 1
50; 20; 15; 1
50; 20; 16; 1
50; 20; 17; 1
50; 20; 18; 1
50; 20; 19; 1
50; 20; 20; 1
50; 20; 21; 1
50; 50; 1; 0
50; 50; 2; 0
50; 50; 3; 1
50; 50; 4; 1
50; 50; 5; 1
50; 50; 6; 1
50; 50; 7; 1
50; 50; 8; 1
50; 50; 9; 1
50; 50; 10; 1
50; 50; 11; 1
50; 50; 12; 1
50; 50; 13; 1
50; 50; 14; 1
50; 50; 15; 1
50; 50; 16; 1
50; 50; 17; 1
50; 50; 18; 1
50; 50; 19; 1
50; 50; 20; 1
50; 50; 21; 1
50; 100; 1; 0
50; 100; 2; 0
50; 100; 3; 1
50; 100; 4; 1
50; 100; 5; 1
50; 100; 6; 1
50; 100; 7; 1
50; 100; 8; 1
50; 100; 9; 1
50; 100; 10; 1
50; 100; 11; 1
50; 100; 12; 1
50; 100; 13; 1
50; 100; 14; 1
50; 100; 15; 1
50; 100; 16; 1
50; 100; 17; 1
50; 100; 18; 1
50; 100; 19; 1
50; 100; 20; 1
50; 100; 21; 1
50; 200; 1; 1
50; 200; 2; 1
50; 200; 3; 1
50; 200; 4; 1
50; 200; 5; 1
50; 200; 6; 1
50; 200; 7; 1
50; 200; 8; 1
50; 200; 9; 1
50; 200; 10; 1
50; 200; 11; 1
50; 200; 12; 1
50; 200; 13; 1
50; 200; 14; 1
50; 200; 15; 1
50; 200; 16; 1
50; 200; 17; 1
50; 200; 18; 1
50; 200; 19; 1
50; 200; 20; 1
50; 200; 21; 1
100; 10; 1; 1
100; 10; 2; 1
100; 10; 3; 1
100; 10; 4; 1
100; 10; 5; 1
100; 10; 6; 1
100; 10; 7; 1
100; 10; 8; 1
100; 10; 9; 1
100; 10; 10; 1
100; 10; 11; 1
100; 10; 12; 1
100; 10; 13; 1
100; 10; 14; 1
100; 10; 15; 1
100; 10; 16; 1
100; 10; 17; 1
100; 10; 18; 1
100; 10; 19; 1
100; 10; 20; 1
100; 10; 21; 1
100; 20; 1; 0
100; 20; 2; 1
100; 20; 3; 1
100; 20; 4; 1
100; 20; 5; 1
100; 20; 6; 1
100; 20; 7; 1
100; 20; 8; 1
100; 20; 9; 1
100; 20; 10; 1
100; 20; 11; 1
100; 20; 12; 1
100; 20; 13; 1
100; 20; 14; 1
100; 20; 15; 1
100; 20; 16; 1
100; 20; 17; 1
100; 20; 18; 1
100; 20; 19; 1
100; 20; 20; 1
100; 20; 21; 1
100; 50; 1; 0
100; 50; 2; 0
100; 50; 3; 0
100; 50; 4; 1
100; 50; 5; 1
100; 50; 6; 1
100; 50; 7; 1
100; 50; 8; 1
100; 50; 9; 1
100; 50; 10; 1
100; 50; 11; 1
100; 50; 12; 1
100; 50; 13; 1
100; 50; 14; 1
100; 50; 15; 1
100; 50; 16; 1
100; 50; 17; 1
100; 50; 18; 1
100; 50; 19; 1
100; 50; 20; 1
100; 50; 21; 1
100; 100; 1; 1
100; 100; 2; 1
100; 100; 3; 1
100; 100; 4; 1
100; 100; 5; 1
100; 100; 6; 1
100; 100; 7; 1
100; 100; 8; 1
100; 100; 9; 1
100; 100; 10; 1
100; 100; 11; 1
100; 100; 12; 1
100; 100; 13; 1
100; 100; 14; 1
100; 100; 15; 1
100; 100; 16; 1
100; 100; 17; 1
100; 100; 18; 1
100; 100; 19; 1
100; 100; 20; 1
100; 100; 21; 1
100; 200; 1; 1
100; 200; 2; 1
100; 200; 3; 1
100; 200; 4; 1
100; 200; 5; 1
100; 200; 6; 1
100; 200; 7; 1
100; 200; 8; 1
100; 200; 9; 1
100; 200; 10; 1
100; 200; 11; 1
100; 200; 12; 1
100; 200; 13; 1
100; 200; 14; 1
100; 200; 15; 1
100; 200; 16; 1
100; 200; 17; 1
100; 200; 18; 1
100; 200; 19; 1
100; 200; 20; 1
100; 200; 21; 1
200; 10; 1; 0
200; 10; 2; 0
200; 10; 3; 0
200; 10; 4; 1
200; 10; 5; 1
200; 10; 6; 1
200; 10; 7; 1
200; 10; 8; 1
200; 10; 9; 1
200; 10; 10; 1
200; 10; 11; 1
200; 10; 12; 1
200; 10; 13; 1
200; 10; 14; 1
200; 10; 15; 1
200; 10; 16; 1
200; 10; 17; 1
200; 10; 18; 1
200; 10; 19; 1
200; 10; 20; 1
200; 10; 21; 1
200; 20; 1; 0
200; 20; 2; 0
200; 20; 3; 1
200; 20; 4; 1
200; 20; 5; 1
200; 20; 6; 1
200; 20; 7; 1
200; 20; 8; 1
200; 20; 9; 1
200; 20; 10; 1
200; 20; 11; 1
200; 20; 12; 1
200; 20; 13; 1
200; 20; 14; 1
200; 20; 15; 1
200; 20; 16; 1
200; 20; 17; 1
200; 20; 18; 1
200; 20; 19; 1
200; 20; 20; 1
200; 20; 21; 1
200; 50; 1; 0
200; 50; 2; 1
200; 50; 3; 1
200; 50; 4; 1
200; 50; 5; 1
200; 50; 6; 1
200; 50; 7; 1
200; 50; 8; 1
200; 50; 9; 1
200; 50; 10; 1
200; 50; 11; 1
200; 50; 12; 1
200; 50; 13; 1
200; 50; 14; 1
200; 50; 15; 1
200; 50; 16; 1
200; 50; 17; 1
200; 50; 18; 1
200; 50; 19; 1
200; 50; 20; 1
200; 50; 21; 1
200; 100; 1; 0
200; 100; 2; 0
200; 100; 3; 1
200; 100; 4; 1
200; 100; 5; 1
200; 100; 6; 1
200; 100; 7; 1
200; 100; 8; 1
200; 100; 9; 1
200; 100; 10; 1
200; 100; 11; 1
200; 100; 12; 1
200; 100; 13; 1
200; 100; 14; 1
200; 100; 15; 1
200; 100; 16; 1
200; 100; 17; 1
200; 100; 18; 1
200; 100; 19; 1
200; 100; 20; 1
200; 100; 21; 1
200; 200; 1; 0
200; 200; 2; 0
200; 200; 3; 0
200; 200; 4; 1
200; 200; 5; 1
200; 200; 6; 1
200; 200; 7; 1
200; 200; 8; 1
200; 200; 9; 1
200; 200; 10; 1
200; 200; 11; 1
200; 200; 12; 1
200; 200; 13; 1
200; 200; 14; 1
200; 200; 15; 1
200; 200; 16; 1
200; 200; 17; 1
200; 200; 18; 1
200; 200; 19; 1
200; 200; 20; 1
200; 200; 21; 1
500; 10; 1; 1
500; 10; 2; 1
500; 10; 3; 1
500; 10; 4; 1
500; 10; 5; 1
500; 10; 6; 1
500; 10; 7; 1
500; 10; 8; 1
500; 10; 9; 1
500; 10; 10; 1
500; 10; 11; 1
500; 10; 12; 1
500; 10; 13; 1
500; 10; 14; 1
500; 10; 15; 1
500; 10; 16; 1
500; 10; 17; 1
500; 10; 18; 1
500; 10; 19; 1
500; 10; 20; 1
500; 10; 21; 1
500; 20; 1; 1
500; 20; 2; 1
500; 20; 3; 1
500; 20; 4; 1
500; 20; 5; 1
500; 20; 6; 1
500; 20; 7; 1
500; 20; 8; 1
500; 20; 9; 1
500; 20; 10; 1
500; 20; 11; 1
500; 20; 12; 1
500; 20; 13; 1
500; 20; 14; 1
500; 20; 15; 1
500; 20; 16; 1
500; 20; 17; 1
500; 20; 18; 1
500; 20; 19; 1
500; 20; 20; 1
500; 20; 21; 1
500; 50; 1; 1
500; 50; 2; 1
500; 50; 3; 1
500; 50; 4; 1
500; 50; 5; 1
500; 50; 6; 1
500; 50; 7; 1
500; 50; 8; 1
500; 50; 9; 1
500; 50; 10; 1
500; 50; 11; 1
500; 50; 12; 1
500; 50; 13; 1
500; 50; 14; 1
500; 50; 15; 1
500; 50; 16; 1
500; 50; 17; 1
500; 50; 18; 1
500; 50; 19; 1
500; 50; 20; 1
500; 50; 21; 1
500; 100; 1; 0
500; 100; 2; 0
500; 100; 3; 1
500; 100; 4; 1
500; 100; 5; 1
500; 100; 6; 1
500; 100; 7; 1
500; 100; 8; 1
500; 100; 9; 1
500; 100; 10; 1
500; 100; 11; 1
500; 100; 12; 1
500; 100; 13; 1
500; 100; 14; 1
500; 100; 15; 1
500; 100; 16; 1
500; 100; 17; 1
500; 100; 18; 1
500; 100; 19; 1
500; 100; 20; 1
500; 100; 21; 1
500; 200; 1; 1
500; 200; 2; 1
500; 200; 3; 1
500; 200; 4; 1
500; 200; 5; 1
500; 200; 6; 1
500; 200; 7; 1
500; 200; 8; 1
500; 200; 9; 1
500; 200; 10; 1
500; 200; 11; 1
500; 200; 12; 1
500; 200; 13; 1
500; 200; 14; 1
500; 200; 15; 1
500; 200; 16; 1
500; 200; 17; 1
500; 200; 18; 1
500; 200; 19; 1
500; 200; 20; 1
500; 200; 21; 1
1000; 10; 1; 1
1000; 10; 2; 1
1000; 10; 3; 1
1000; 10; 4; 1
1000; 10; 5; 1
1000; 10; 6; 1
1000; 10; 7; 1
1000; 10; 8; 1
1000; 10; 9; 1
1000; 10; 10; 1
1000; 10; 11; 1
1000; 10; 12; 1
1000; 10; 13; 1
1000; 10; 14; 1
1000; 10; 15; 1
1000; 10; 16; 1
1000; 10; 17; 1
1000; 10; 18; 1
1000; 10; 19; 1
1000; 10; 20; 1
1000; 10; 21; 1
1000; 20; 1; 1
1000; 20; 2; 1
1000; 20; 3; 1
1000; 20; 4; 1
1000; 20; 5; 1
1000; 20; 6; 1
1000; 20; 7; 1
1000; 20; 8; 1
1000; 20; 9; 1
1000; 20; 10; 1
1000; 20; 11; 1
1000; 20; 12; 1
1000; 20; 13; 1
1000; 20; 14; 1
1000; 20; 15; 1
1000; 20; 16; 1
1000; 20; 17; 1
1000; 20; 18; 1
1000; 20; 19; 1
1000; 20; 20; 1
1000; 20; 21; 1
1000; 50; 1; 0
1000; 50; 2; 1
1000; 50; 3; 1
1000; 50; 4; 1
1000; 50; 5; 1
1000; 50; 6; 1
1000; 50; 7; 1
1000; 50; 8; 1
1000; 50; 9; 1
1000; 50; 10; 1
1000; 50; 11; 1
1000; 50; 12; 1
1000; 50; 13; 1
1000; 50; 14; 1
1000; 50; 15; 1
1000; 50; 16; 1
1000; 50; 17; 1
1000; 50; 18; 1
1000; 50; 19; 1
1000; 50; 20; 1
1000; 50; 21; 1
1000; 100; 1; 1
1000; 100; 2; 1
1000; 100; 3; 1
1000; 100; 4; 1
1000; 100; 5; 1
1000; 100; 6; 1
1000; 100; 7; 1
1000; 100; 8; 1
1000; 100; 9; 1
1000; 100; 10; 1
1000; 100; 11; 1
1000; 100; 12; 1
1000; 100; 13; 1
1000; 100; 14; 1
1000; 100; 15; 1
1000; 100; 16; 1
1000; 100; 17; 1
1000; 100; 18; 1
1000; 100; 19; 1
1000; 100; 20; 1
1000; 100; 21; 1
1000; 200; 1; 1
1000; 200; 2; 1
1000; 200; 3; 1
1000; 200; 4; 1
1000; 200; 5; 1
1000; 200; 6; 1
1000; 200; 7; 1
1000; 200; 8; 1
1000; 200; 9; 1
1000; 200; 10; 1
1000; 200; 11; 1
1000; 200; 12; 1
1000; 200; 13; 1
1000; 200; 14; 1
1000; 200; 15; 1
1000; 200; 16; 1
1000; 200; 17; 1
1000; 200; 18; 1
1000; 200; 19; 1
1000; 200; 20; 1
1000; 200; 21; 1
5000; 10; 1; 0
5000; 10; 2; 0
5000; 10; 3; 0
5000; 10; 4; 0
5000; 10; 5; 0
5000; 10; 6; 0
5000; 10; 7; 0
5000; 10; 8; 0
5000; 10; 9; 0
5000; 10; 10; 1
5000; 10; 11; 1
5000; 10; 12; 1
5000; 10; 13; 1
5000; 10; 14; 1
5000; 10; 15; 1
5000; 10; 16; 1
5000; 10; 17; 1
5000; 10; 18; 1
5000; 10; 19; 1
5000; 10; 20; 1
5000; 10; 21; 1
5000; 20; 1; 0
5000; 20; 2; 0
5000; 20; 3; 1
5000; 20; 4; 1
5000; 20; 5; 1
5000; 20; 6; 1
5000; 20; 7; 1
5000; 20; 8; 1
5000; 20; 9; 1
5000; 20; 10; 1
5000; 20; 11; 1
5000; 20; 12; 1
5000; 20; 13; 1
5000; 20; 14; 1
5000; 20; 15; 1
5000; 20; 16; 1
5000; 20; 17; 1
5000; 20; 18; 1
5000; 20; 19; 1
5000; 20; 20; 1
5000; 20; 21; 1
5000; 50; 1; 0
5000; 50; 2; 0
5000; 50; 3; 0
5000; 50; 4; 0
5000; 50; 5; 0
5000; 50; 6; 1
5000; 50; 7; 1
5000; 50; 8; 1
5000; 50; 9; 1
5000; 50; 10; 1
5000; 50; 11; 1
5000; 50; 12; 1
5000; 50; 13; 1
5000; 50; 14; 1
5000; 50; 15; 1
5000; 50; 16; 1
5000; 50; 17; 1
5000; 50; 18; 1
5000; 50; 19; 1
5000; 50; 20; 1
5000; 50; 21; 1
5000; 100; 1; 1
5000; 100; 2; 1
5000; 100; 3; 1
5000; 100; 4; 1
5000; 100; 5; 1
5000; 100; 6; 1
5000; 100; 7; 1
5000; 100; 8; 1
5000; 100; 9; 1
5000; 100; 10; 1
5000; 100; 11; 1
5000; 100; 12; 1
5000; 100; 13; 1
5000; 100; 14; 1
5000; 100; 15; 1
5000; 100; 16; 1
5000; 100; 17; 1
5000; 100; 18; 1
5000; 100; 19; 1
5000; 100; 20; 1
5000; 100; 21; 1
5000; 200; 1; 1
5000; 200; 2; 1
5000; 200; 3; 1
5000; 200; 4; 1
5000; 200; 5; 1
5000; 200; 6; 1
5000; 200; 7; 1
5000; 200; 8; 1
5000; 200; 9; 1
5000; 200; 10; 1
5000; 200; 11; 1
5000; 200; 12; 1
5000; 200; 13; 1
5000; 200; 14; 1
5000; 200; 15; 1
5000; 200; 16; 1
5000; 200; 17; 1
5000; 200; 18; 1
5000; 200; 19; 1
5000; 200; 20; 1
5000; 200; 21; 1
10000; 10; 1; 1
10000; 10; 2; 1
10000; 10; 3; 1
10000; 10; 4; 1
10000; 10; 5; 1
10000; 10; 6; 1
10000; 10; 7; 1
10000; 10; 8; 1
10000; 10; 9; 1
10000; 10; 10; 1
10000; 10; 11; 1
10000; 10; 12; 1
10000; 10; 13; 1
10000; 10; 14; 1
10000; 10; 15; 1
10000; 10; 16; 1
10000; 10; 17; 1
10000; 10; 18; 1
10000; 10; 19; 1
10000; 10; 20; 1
10000; 10; 21; 1
10000; 20; 1; 0
10000; 20; 2; 0
10000; 20; 3; 1
10000; 20; 4; 1
10000; 20; 5; 1
10000; 20; 6; 1
10000; 20; 7; 1
10000; 20; 8; 1
10000; 20; 9; 1
10000; 20; 10; 1
10000; 20; 11; 1
10000; 20; 12; 1
10000; 20; 13; 1
10000; 20; 14; 1
10000; 20; 15; 1
10000; 20; 16; 1
10000; 20; 17; 1
10000; 20; 18; 1
10000; 20; 19; 1
10000; 20; 20; 1
10000; 20; 21; 1
10000; 50; 1; 0
10000; 50; 2; 0
10000; 50; 3; 0
10000; 50; 4; 0
10000; 50; 5; 1
10000; 50; 6; 1
10000; 50; 7; 1
10000; 50; 8; 1
10000; 50; 9; 1
10000; 50; 10; 1
10000; 50; 11; 1
10000; 50; 12; 1
10000; 50; 13; 1
10000; 50; 14; 1
10000; 50; 15; 1
10000; 50; 16; 1
10000; 50; 17; 1
10000; 50; 18; 1
10000; 50; 19; 1
10000; 50; 20; 1
10000; 50; 21; 1
10000; 100; 1; 1
10000; 100; 2; 1
10000; 100; 3; 1
10000; 100; 4; 1
10000; 100; 5; 1
10000; 100; 6; 1
10000; 100; 7; 1
10000; 100; 8; 1
10000; 100; 9; 1
10000; 100; 10; 1
10000; 100; 11; 1
10000; 100; 12; 1
10000; 100; 13; 1
10000; 100; 14; 1
10000; 100; 15; 1
10000; 100; 16; 1
10000; 100; 17; 1
10000; 100; 18; 1
10000; 100; 19; 1
10000; 100; 20; 1
10000; 100; 21; 1
10000; 200; 1; 0
10000; 200; 2; 0
10000; 200; 3; 0
10000; 200; 4; 0
10000; 200; 5; 1
10000; 200; 6; 1
10000; 200; 7; 1
10000; 200; 8; 1
10000; 200; 9; 1
10000; 200; 10; 1
10000; 200; 11; 1
10000; 200; 12; 1
10000; 200; 13; 1
10000; 200; 14; 1
10000; 200; 15; 1
10000; 200; 16; 1
10000; 200; 17; 1
10000; 200; 18; 1
10000; 200; 19; 1
10000; 200; 20; 1
10000; 200; 21; 1
